,L,max_stay_counter,m,n,quench,struc_count,ITC
179,6,6,0.01,2,2,75.8,230.0396512
180,6,6,0.2,0.1,0.1,75.36,232.5531261
181,6,6,0.2,0.1,0.2,75.98,230.2752651
182,6,6,0.2,0.1,0.3,87.52,230.343817
183,6,6,0.2,0.1,0.4,74.72,231.19393
184,6,6,0.2,0.1,0.5,74.9,229.2589044
185,6,6,0.2,0.1,0.65,74.96,232.2411959
186,6,6,0.2,0.1,0.8,76.06,233.4257358
187,6,6,0.2,0.1,1,82.24,229.1873564
188,6,6,0.2,0.1,2,56.06,231.4675186
189,6,6,0.2,0.2,0.1,79.16,233.218941
190,6,6,0.2,0.2,0.2,86.36,229.8329006
191,6,6,0.2,0.2,0.3,82.14,229.5480402
192,6,6,0.2,0.2,0.4,79.28,231.4607508
193,6,6,0.2,0.2,0.5,77.52,230.9196349
194,6,6,0.2,0.2,0.65,86.12,230.1046972
195,6,6,0.2,0.2,0.8,86.16,230.0301165
196,6,6,0.2,0.2,1,84.44,229.4728921
197,6,6,0.2,0.2,2,60.48,226.1783104
198,6,6,0.2,0.3,0.1,81.68,231.5609578
199,6,6,0.2,0.3,0.2,77.98,231.8903051
200,6,6,0.2,0.3,0.3,77.28,229.3486953
201,6,6,0.2,0.3,0.4,76.1,230.8152954
202,6,6,0.2,0.3,0.5,82.64,230.1688875
203,6,6,0.2,0.3,0.65,87.12,231.3515202
204,6,6,0.2,0.3,0.8,82.2,229.9431129
205,6,6,0.2,0.3,1,85.36,230.3497888
206,6,6,0.2,0.3,2,64.3,228.5797938
207,6,6,0.2,0.4,0.1,79,231.0559685
208,6,6,0.2,0.4,0.2,76.34,229.4376408
209,6,6,0.2,0.4,0.3,86.08,229.5496233
210,6,6,0.2,0.4,0.4,83.44,231.3924836
211,6,6,0.2,0.4,0.5,74.8,229.0441866
212,6,6,0.2,0.4,0.65,82.92,226.1742702
213,6,6,0.2,0.4,0.8,76.24,231.8848167
214,6,6,0.2,0.4,1,79.62,226.6322355
215,6,6,0.2,0.4,2,68.74,228.1615987
216,6,6,0.2,0.5,0.1,81.46,230.042507
217,6,6,0.2,0.5,0.2,85.64,228.2787815
218,6,6,0.2,0.5,0.3,77.3,230.7563088
219,6,6,0.2,0.5,0.4,82.3,228.9793074
220,6,6,0.2,0.5,0.5,82.62,230.1415411
221,6,6,0.2,0.5,0.65,80.44,228.6030757
222,6,6,0.2,0.5,0.8,74.64,231.5798611
223,6,6,0.2,0.5,1,78.98,235.9369813
224,6,6,0.2,0.5,2,69.22,228.4224267
225,6,6,0.2,0.6,0.1,81.72,231.1377299
226,6,6,0.2,0.6,0.2,76.96,229.6824408
227,6,6,0.2,0.6,0.3,74.46,230.7653207
228,6,6,0.2,0.6,0.4,74.52,229.5321079
229,6,6,0.2,0.6,0.5,81.46,231.2954964
230,6,6,0.2,0.6,0.65,70.74,233.8778296
231,6,6,0.2,0.6,0.8,80.6,228.1055518
232,6,6,0.2,0.6,1,83.24,228.5013926
233,6,6,0.2,0.6,2,70.7,229.7264118
234,6,6,0.2,0.7,0.1,75.62,232.0436789
235,6,6,0.2,0.7,0.2,85.7,230.1761781
236,6,6,0.2,0.7,0.3,72.16,228.8807743
237,6,6,0.2,0.7,0.4,79.6,233.6002015
238,6,6,0.2,0.7,0.5,75.4,229.7825469
239,6,6,0.2,0.7,0.65,80.62,232.2334674
240,6,6,0.2,0.7,0.8,81.7,231.0810497
241,6,6,0.2,0.7,1,81.78,230.167103
242,6,6,0.2,0.7,2,78.62,225.4681115
243,6,6,0.2,0.8,0.1,80.84,232.5024279
244,6,6,0.2,0.8,0.2,77.8,230.6925463
245,6,6,0.2,0.8,0.3,79.88,230.6165289
246,6,6,0.2,0.8,0.4,82.38,230.1922562
247,6,6,0.2,0.8,0.5,77,228.9801142
248,6,6,0.2,0.8,0.65,88.86,229.3347767
249,6,6,0.2,0.8,0.8,83.06,227.0242374
250,6,6,0.2,0.8,1,83.12,232.1099242
251,6,6,0.2,0.8,2,73.9,229.3210899
252,6,6,0.2,0.9,0.1,80.48,231.0758407
253,6,6,0.2,0.9,0.2,71.22,232.0696266
254,6,6,0.2,0.9,0.3,82.9,229.7676092
255,6,6,0.2,0.9,0.4,69.2,233.2041166
256,6,6,0.2,0.9,0.5,74.86,230.4531668
257,6,6,0.2,0.9,0.65,81.96,229.2061126
258,6,6,0.2,0.9,0.8,82.38,229.3098297
259,6,6,0.2,0.9,1,80.48,230.9150672
260,6,6,0.2,0.9,2,79.68,228.1749702
261,6,6,0.2,1,0.1,79.06,233.21098
262,6,6,0.2,1,0.2,77.3,230.2193951
263,6,6,0.2,1,0.3,86.24,230.8561002
264,6,6,0.2,1,0.4,78.74,228.505561
265,6,6,0.2,1,0.5,77.04,233.4560702
266,6,6,0.2,1,0.65,78.12,231.8754203
267,6,6,0.2,1,0.8,79.46,231.9030434
268,6,6,0.2,1,1,73.6,229.611802
269,6,6,0.2,1,2,74.18,228.0125736
270,6,6,0.2,1.1,0.1,78.88,232.9109826
271,6,6,0.2,1.1,0.2,76.18,228.4540879
272,6,6,0.2,1.1,0.3,74.96,233.7910944
273,6,6,0.2,1.1,0.4,75.98,230.5132729
274,6,6,0.2,1.1,0.5,88.76,229.7821787
275,6,6,0.2,1.1,0.65,72.14,229.28217
276,6,6,0.2,1.1,0.8,78.32,231.6148161
277,6,6,0.2,1.1,1,79.26,230.3990509
278,6,6,0.2,1.1,2,81.38,229.2427761
279,6,6,0.2,1.2,0.1,81.82,229.2158182
