,L,max_stay_counter,m,n,quench,ITC
495,6,6,0.5,1.6,0.1,209.39470311000002
496,6,6,0.5,1.6,0.2,206.19510788399998
497,6,6,0.5,1.6,0.3,206.53815079799998
498,6,6,0.5,1.6,0.4,207.67237970999997
499,6,6,0.5,1.6,0.5,208.304108244
500,6,6,0.5,1.6,0.65,207.75060260400002
501,6,6,0.5,1.6,0.8,207.13011327599997
502,6,6,0.5,1.6,1.0,207.99089054999996
503,6,6,0.5,1.6,2.0,201.18980678399998
504,6,6,0.5,1.7,0.1,210.415894506
505,6,6,0.5,1.7,0.2,207.19675050599994
506,6,6,0.5,1.7,0.3,207.57456261599998
507,6,6,0.5,1.7,0.4,208.24668571199996
508,6,6,0.5,1.7,0.5,209.084520822
509,6,6,0.5,1.7,0.65,206.62875261599999
510,6,6,0.5,1.7,0.8,205.80195670199996
511,6,6,0.5,1.7,1.0,207.266151264
512,6,6,0.5,1.7,2.0,209.42322657
513,6,6,0.5,1.8,0.1,206.37097091399994
514,6,6,0.5,1.8,0.2,209.33512318199996
515,6,6,0.5,1.8,0.3,209.45578412999998
516,6,6,0.5,1.8,0.4,207.73559236200003
517,6,6,0.5,1.8,0.5,209.385308064
518,6,6,0.5,1.8,0.65,208.340539218
519,6,6,0.5,1.8,0.8,206.838502764
520,6,6,0.5,1.8,1.0,206.41680913800002
521,6,6,0.5,1.8,2.0,206.40242468999998
522,6,6,0.5,1.9,0.1,208.86154492800003
523,6,6,0.5,1.9,0.2,207.90027788400002
524,6,6,0.5,1.9,0.3,208.323452262
525,6,6,0.5,1.9,0.4,208.01270520000003
526,6,6,0.5,1.9,0.5,208.557678888
527,6,6,0.5,1.9,0.65,207.10501303799995
528,6,6,0.5,1.9,0.8,208.913572614
529,6,6,0.5,1.9,1.0,206.24314215
530,6,6,0.5,1.9,2.0,206.345160132
531,6,6,0.5,2.0,0.1,206.989324542
532,6,6,0.5,2.0,0.2,203.14197828599998
533,6,6,0.5,2.0,0.3,208.93753381199997
534,6,6,0.5,2.0,0.4,205.80015322199998
535,6,6,0.5,2.0,0.5,207.99508058999996
536,6,6,0.5,2.0,0.65,206.74928271000005
537,6,6,0.5,2.0,0.8,206.03845598399997
538,6,6,0.5,2.0,1.0,210.12546371400003
539,6,6,0.5,2.0,2.0,207.569473548
540,6,6,1.0,0.1,0.1,207.55014851400003
541,6,6,1.0,0.1,0.2,204.928386924
542,6,6,1.0,0.1,0.3,202.69865239199996
543,6,6,1.0,0.1,0.4,201.34264764600002
544,6,6,1.0,0.1,0.5,203.258411226
545,6,6,1.0,0.1,0.65,202.23262773600004
546,6,6,1.0,0.1,0.8,202.04070830999999
547,6,6,1.0,0.1,1.0,200.85330318
548,6,6,1.0,0.1,2.0,212.18834854800002
549,6,6,1.0,0.2,0.1,206.22237229800004
550,6,6,1.0,0.2,0.2,205.13329276200002
551,6,6,1.0,0.2,0.3,206.915939856
552,6,6,1.0,0.2,0.4,203.278644102
553,6,6,1.0,0.2,0.5,202.798103466
