,L,max_stay_counter,m,n,quench,ITC
394,6,6,0.5,0.4,1.0,419.16994931399995
395,6,6,0.5,0.4,2.0,405.136553442
396,6,6,0.5,0.5,0.1,409.17313221000006
397,6,6,0.5,0.5,0.2,407.974406514
398,6,6,0.5,0.5,0.3,411.026685222
399,6,6,0.5,0.5,0.4,411.0199635299999
400,6,6,0.5,0.5,0.5,410.527629084
401,6,6,0.5,0.5,0.65,412.174612446
402,6,6,0.5,0.5,0.8,408.83306639400007
403,6,6,0.5,0.5,1.0,408.8930768519999
404,6,6,0.5,0.5,2.0,410.40327168
405,6,6,0.5,0.6,0.1,405.97916709599997
406,6,6,0.5,0.6,0.2,414.5514356880001
407,6,6,0.5,0.6,0.3,408.38231301
408,6,6,0.5,0.6,0.4,407.21819718
409,6,6,0.5,0.6,0.5,410.493735186
410,6,6,0.5,0.6,0.65,411.70780809
411,6,6,0.5,0.6,0.8,413.985618924
412,6,6,0.5,0.6,1.0,412.099260204
413,6,6,0.5,0.6,2.0,415.705053366
414,6,6,0.5,0.7,0.1,405.671622906
415,6,6,0.5,0.7,0.2,405.02982132599993
416,6,6,0.5,0.7,0.3,410.84566668
417,6,6,0.5,0.7,0.4,410.23756780200006
418,6,6,0.5,0.7,0.5,413.32909593
419,6,6,0.5,0.7,0.65,413.000927658
420,6,6,0.5,0.7,0.8,413.9471485259999
421,6,6,0.5,0.7,1.0,413.72144164799994
422,6,6,0.5,0.7,2.0,419.10640647599996
423,6,6,0.5,0.8,0.1,408.36568641599996
424,6,6,0.5,0.8,0.2,407.078177976
425,6,6,0.5,0.8,0.3,406.54046837999994
426,6,6,0.5,0.8,0.4,409.97988169800004
427,6,6,0.5,0.8,0.5,411.960369192
428,6,6,0.5,0.8,0.65,415.028241222
429,6,6,0.5,0.8,0.8,413.79435037799993
430,6,6,0.5,0.8,1.0,415.6249971600001
431,6,6,0.5,0.8,2.0,409.374159888
432,6,6,0.5,0.9,0.1,412.657223694
433,6,6,0.5,0.9,0.2,414.026050098
434,6,6,0.5,0.9,0.3,409.4440962659999
435,6,6,0.5,0.9,0.4,408.0294207899999
436,6,6,0.5,0.9,0.5,407.34771077399995
437,6,6,0.5,0.9,0.65,413.612451792
438,6,6,0.5,0.9,0.8,410.18630557800003
439,6,6,0.5,0.9,1.0,406.553022906
440,6,6,0.5,0.9,2.0,417.38679846599996
441,6,6,0.5,1.0,0.1,407.933599728
442,6,6,0.5,1.0,0.2,407.69738113799997
443,6,6,0.5,1.0,0.3,403.116434136
444,6,6,0.5,1.0,0.4,412.62778425600004
445,6,6,0.5,1.0,0.5,405.22757290799996
446,6,6,0.5,1.0,0.65,414.92668563599995
447,6,6,0.5,1.0,0.8,410.336162562
448,6,6,0.5,1.0,1.0,412.04710912200005
